id,title,description,availability,condition,price,link,image_link,brand
AC_42b1175445,F-150 Lariat 4x4 5.0 V8,Ano: 2024/2024 • 31.660 KM,in stock,used,450000.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIJMFG&veiculo=f-150-lariat-4x4-5.0-v8,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1366800-m.jpg?11072026211940,F-150
AC_0436cf43be,Gol Trendline 1.6 4P Total Flex,Ano: 2017/2018 • 144.000 KM,in stock,used,44990.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIJJKL&veiculo=gol-trendline-1.6-4p-total-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1366555-m.jpg?0,Gol
AC_98def9c2b9,harley davidson XL 883 R,Ano: 2007/2007 • 31.837 KM,in stock,used,36990.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIMHKL&veiculo=harley-davidson-xl-883-r,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1369355-m.jpg?20072026,harley
AC_480fd01cde,Haval H6 GT PHEV AWD HÃ­brido,Ano: 2023/2024 • 91.000 KM,in stock,used,219900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHLHON&veiculo=haval-h6-gt-phev-awd-hibrido,https://www.usadofacil.com.br/fotoscarrosano/2026/06/1358397-m.jpg?0,Haval
AC_015395c723,Hilux SRX CD 2.8 4x4 TDI AutomÃ¡tico Diesel,2016/2017,in stock,used,174900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BDLMFGL&veiculo=hilux-srx-cd-2.8-4x4-tdi-automatico-diesel,https://www.usadofacil.com.br/fotoscarrosano/2025/10/1299115-m.jpg?26062026144846,Hilux
AC_1be87c752a,HRV EX 1.8 AutomÃ¡tico Flex,Ano: 2017/2018 • 101.004 KM,in stock,used,94900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHHJFP&veiculo=hrv-ex-1.8-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1354509-m.jpg?0,HRV
AC_c035777958,Kicks Advance 1.6 AutomÃ¡tico Flex,Ano: 2021/2022 • 105.185 KM,in stock,used,89900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIEHNK&veiculo=kicks-advance-1.6-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/06/1361384-m.jpg?0,Kicks
AC_21a96af6f6,Nivus Highline 200 TSI AutomÃ¡tico Flex,Ano: 2021/2021 • 58.832 KM,in stock,used,110900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHLLGI&veiculo=nivus-highline-200-tsi-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/06/1358712-m.jpg?17062026161743,Nivus
AC_a42ecbc8bd,Nivus Highline 200 TSI AutomÃ¡tico Flex,Ano: 2023/2024 • 87.395 KM,in stock,used,119900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHGJGM&veiculo=nivus-highline-200-tsi-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1353516-m.jpg?29052026102350,Nivus
AC_90257f2260,Onix Hatch LT 1.0 MecÃ¢nico Flex,Ano: 2017/2018 • 103.220 KM,in stock,used,53900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEJDHJH&veiculo=onix-hatch-lt-1.0-mecanico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1370341-m.jpg?0,Onix
AC_16bd3673de,Onix Hatch LTZ 1.0 Turbo AutomÃ¡tico Flex,Ano: 2020/2020 • 81.992 KM,in stock,used,75900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEGKJKJ&veiculo=onix-hatch-ltz-1.0-turbo-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1347553-m.jpg?01072026164610,Onix
